Unnamed: 0,m/z,Composition,Glycan Structure,Name,Glycoprofiles
52,975,Hex(2)HexNAc(2)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:4o(6+1)8n
",975-1,"['P5TA-AS', 'P10H']"
53,975,Hex(2)HexNAc(2)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6b:x-dgal-HEX-x:x
7s:n-acetyl
8s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:4o(-1+1)6d
6:4d(2+1)7n
7:4o(6+1)8n
",975-2,"['P2TS', 'P4TS']"
54,975,Hex(2)HexNAc(2)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:5o(6+1)8n
",975-3,"['P2TS', 'P4TS', 'P7TA-AS']"
55,993,Hex(1)HexNAc(4),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5b:x-dglc-HEX-x:x
6s:n-acetyl
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:5d(2+1)6n
6:3d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
",993-1,"['P2TS', 'P4TS']"
56,993,Hex(1)HexNAc(4),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8d(2+1)9n
",993-2,"['P2TS', 'P4TS', 'P4TI']"
57,1016,Hex(1)HexNAc(3)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:sulfate
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7o(-1+1)8n
8:7d(2+1)9n
",1016-1,"['P2TS', 'P4TS']"
58,1016,Hex(1)HexNAc(3)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:sulfate
7s:n-acetyl
8b:b-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6n
6:5d(2+1)7n
7:5o(4+1)8d
8:8d(2+1)9n
",1016-2,['P1TS']
59,1032,Hex(2)HexNAc(3)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:sulfate
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6o(-1+1)7n
7:6d(2+1)8n
8:6o(4+1)9d
",1032,['P4TS']
60,1040,NeuAc(1)Hex(2)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
",1040-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P7TA-AS', 'P8H', 'P9H', 'P10H']"
61,1040,NeuAc(1)Hex(2)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+2)7d
7:7d(5+1)8n
",1040-2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA-FS', 'P5TA-AS', 'P8H', 'P10H']"
62,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6b:x-lgal-HEX-x:x|6:d
7b:x-dgal-HEX-x:x
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6d
6:5o(-1+1)7d
7:5d(2+1)8n
",1041-1,['P7TA-AG']
63,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:5o(3+1)7d
7:7o(2+1)8d
",1041-2,"['P1TS', 'P9H']"
64,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(3+1)7d
7:7o(2+1)8d
",1041-3,['P1TS']
65,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6b:x-lgal-HEX-x:x|6:d
7b:x-dgal-HEX-x:x
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6d
6:5o(-1+1)7d
7:5d(2+1)8n
",1041-4,"['P6TA-FG', 'P5TA-AS', 'P7TA-AG']"
66,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
",1041-5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
67,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
",1057-1,"['P1TI', 'P5TA-AS', 'P10H']"
68,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:b-dgal-HEX-x:x
6b:a-lgal-HEX-x:x|6:d
7b:a-dgal-HEX-x:x
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(-1+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:4d(2+1)8n
",1057-2,"['P1TI', 'P4TI', 'P5TA-AS', 'P5TA-AG', 'P9H', 'P10H']"
69,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6b:b-dgal-HEX-x:x
7b:a-dgal-HEX-x:x
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6d
6:6o(3+1)7d
7:5d(2+1)8n
",1057-3,"['P4TI', 'P5TA-AG', 'P9H']"
70,1081,NeuAc(1)Hex(1)HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8d(2+1)9n
",1081-1,['P1TS']
71,1081,NeuAc(1)Hex(1)HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
6s:n-acetyl
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(3+2)5d
5:5d(5+1)6n
6:3d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
",1081-2,['P10H']
72,1082,Hex(1)HexNAc(3)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dglc-HEX-x:x
6b:x-lgal-HEX-x:x|6:d
7b:x-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5o(-1+1)6d
6:5o(-1+1)7d
7:7o(2+1)8d
8:5d(2+1)9n
",1082,['P2TS']
73,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8b:a-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
",1098-1,"['P1TS', 'P1TI', 'P2TS', 'P8H']"
74,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8b:a-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
",1098-2,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H']"
75,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6b:x-dgal-HEX-x:x
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:4o(-1+1)6d
6:4d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
",1098-3,"['P6TA-FS', 'P10H']"
76,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1098-4,"['P1TI', 'P2TS', 'P4TI', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H']"
77,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
",1098-5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P10H']"
78,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:x-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(-1+1)8d
8:8d(2+1)9n
",1098-6,"['P3TS', 'P6TA-AG', 'P7TA-AG', 'P8H', 'P10H']"
79,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:x-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(-1+1)8d
8:8d(2+1)9n
",1098-7,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG']"
80,1114,Hex(3)HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8b:x-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
",1114-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AG', 'P8H', 'P9H', 'P10H']"
81,1114,Hex(3)HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1114-2,"['P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P8H', 'P9H']"
82,1114,Hex(3)HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1114-3,"['P3TS', 'P8H']"
83,1121,Hex(2)HexNAc(2)dHex(2)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
9s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
8:5o(6+1)9n
",1121,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P7TA-AS']"
84,1139,Hex(1)HexNAc(4)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n
",1139,"['P1TI', 'P4TI', 'P7TA-AG']"
85,1155,Hex(2)HexNAc(4),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:a-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(4+1)9d
9:9d(2+1)10n
",1155-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
86,1155,Hex(2)HexNAc(4),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:x-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(-1+1)9d
9:9d(2+1)10n
",1155-2,"['P4TS', 'P4TI', 'P5TA-AG']"
87,1178,Hex(2)HexNAc(3)dHex(1)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:a-lgal-HEX-x:x|6:d
10s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
9:6o(6+1)10n
",1178,['P4TS']
88,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:a-lgal-HEX-x:x|6:d
7b:b-dgal-HEX-x:x
8b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
",1186-1,"['P1TI', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P9H', 'P10H']"
89,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
8s:n-acetyl
9b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:6o(3+2)7d
7:7d(5+1)8n
8:4o(4+1)9d
",1186-2,"['P1TS', 'P2TS', 'P10H']"
90,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
",1186-3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P8H', 'P9H', 'P10H']"
91,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
",1186-4,"['P1TS', 'P1TI', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P10H']"
92,1187,Hex(2)HexNAc(2)dHex(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6b:x-lgal-HEX-x:x|6:d
7b:x-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6d
6:5o(-1+1)7d
7:7o(2+1)8d
8:5d(2+1)9n
",1187,"['P6TA-FG', 'P7TA-AG']"
93,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:a-lgal-HEX-x:x|6:d
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
9b:a-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
7:7o(2+1)8d
8:7o(3+1)9d
",1203-1,"['P1TI', 'P5TA-AS', 'P10H']"
94,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:a-lgal-HEX-x:x|6:d
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(3+1)8d
8:6o(4+1)9d
",1203-2,"['P1TS', 'P1TI', 'P6TA-FS', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
95,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6b:x-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8b:a-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:4o(-1+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:4d(2+1)9n
",1203-3,"['P1TI', 'P5TA-AS', 'P10H']"
